temperature,humidity,rainfall,water_contamination,sanitation_coverage,population_density,reported_cases,cholera_outbreak,location
27.49080237694725,78.89541724466932,327.153160767028,0.6456906684495384,71.69752135097528,6417.631226884522,14,0,Region-20
39.01428612819832,50.34318172630997,40.01628488296832,0.40241849425698206,52.08138660271757,4646.995289988512,9,0,Region-67
34.6398788362281,92.3436738012889,121.16490572686949,0.47190910991458757,15.013620612408172,9648.535396153015,10,0,Region-10
31.973169683940732,76.78697434415449,386.83967323962537,0.7167247826814506,92.66591356196949,2267.886664743958,9,0,Region-32
23.12037280884873,49.43223301341725,264.34292683940987,0.8763060296667939,98.22962195887429,5919.778518389513,15,0,Region-20
23.119890406724053,97.74028344887242,463.9845308935224,0.2722188008397757,48.793907369065145,7032.079148403204,18,0,Region-38
21.161672243363988,71.10192780011924,214.37570417067715,0.34207679597107077,65.22947266683944,8273.088444519279,14,0,Region-36
37.3235229154987,44.3739071122993,434.90618290696153,0.9307393963624127,50.526876361937205,4129.013201237271,7,0,Region-95
32.022300234864176,77.60997426490403,224.47771873911876,0.5785117924094454,38.96916857975086,6900.526885809067,8,0,Region-39
34.161451555920905,55.19193442076862,489.62413935099266,0.17896181713500103,16.95869135720269,3101.694566704399,14,0,Region-36
20.411689885916047,88.22160711263814,479.9171906994384,0.6636951389123827,51.0460957357569,4411.213314382021,18,0,Region-39
39.39819704323989,89.06932441397143,164.56835277804015,0.9907621555393796,83.65461007235064,8966.708598913652,6,0,Region-14
36.648852816008436,98.73684135127971,442.9618352084016,0.8234535644704001,11.532831497920322,9504.085332376448,7,1,Region-34
24.246782213565524,70.11217186147022,423.8056871078246,0.7457411365514027,62.38969148622001,7216.291734579921,10,0,Region-38
23.636499344142013,67.29741278366423,105.34019866378142,0.20804665426626923,89.269489785402,3806.083718684232,8,0,Region-88
23.668090197068675,85.20853632678885,312.14520039163483,0.8761397846840072,29.579448701292222,8218.572120749173,15,1,Region-41
26.084844859190753,47.948239380515595,36.34115779490743,0.5257888435355464,26.4930278220156,356.0841090816598,7,0,Region-25
30.495128632644757,72.81493082758746,418.3553602917308,0.8892900220719556,79.50489631317488,1117.1845143402684,6,0,Region-23
28.638900372842315,72.77485600785106,87.27294175174826,0.3298278294248793,32.95777880073639,6647.599990116075,8,0,Region-76
